question,option_1,option_2,option_3,option_4,correct_option,Subject,topic,correct_answer,Correct_Option_Number
"An inductor, a resistor and a capacitor are joined in series with an AC source. As the frequency of the source is
slightly increased from a very low value, the reactance of the",inductor increases,resistor increases,capacitor increases,circuit increases,,Physics,Electricity,inductor increases,1
"The energy band diagrams for three
semiconductor sample of silicon are
shown. It follows that.",Sample X is undoped while samples Y and Z have been doped with a third group and a fifth group impurity respectively,Sample X is undoped while both samples Y and Z have been doped with a fifth group impurity,Sample X has been doped with equal amounts of third and fifth group impurities while samples \( Y \) and \( z \) are undoped,Sample X is undoped while samples Y and Z have been doped with a fifth group and a third group impurity respectively,,Physics,Electricity,Sample X is undoped while samples Y and Z have been doped with a third group and a fifth group impurity respectively,1
"State the effect on the divergence of the leaves of a gold leaf electroscope on bringing a negatively charged rod near it if the electroscope is positively
charged:",Divergence decreases,Divergence increases,Divergence remains same,can't say,,Physics,Electricity,Divergence decreases,1
Why are lightning conductors pointed in shape?,To reduce mass,It attracts more electric charge due to very small radius and hence surface area,It allows more current,It repels the incident lightning discharge,,Physics,Electricity,To reduce mass,1
"\( A 2 \mathrm{kg} \) disc of radius \( 0.5 \mathrm{m} \) accelerates from rest to 25 rad/s in 5 seconds. The
average power exerted on the disc is",78.1 watts,15.6 Watts,28.1 watts,40.6 watts,,Physics,Electricity,78.1 watts,1
"When the separation between the two charges is increased the electric
potential energy of the charges",Increases,Decreases,Remains unchanged,May increase or decrease,,Physics,Electricity,Increases,1
"In an oscillating \( L-C \) circuit in which
\( C=4.00 \mu F, \) the maximum potential
across the capacitor during the oscillations is \( 1.50 V \) and the maximum
current through the inductor is \( 50.0 m A \)
How much time does the charge on the capacitor take to rise from zero to its maximum value?",\( 0.238 \mathrm{ms} \),\( 0.788 \mathrm{ms} \),\( 0.488 \mathrm{ms} \),\( 0.188 \mathrm{ms} \),,Physics,Electricity,\( 0.238 \mathrm{ms} \),1
"A car is moving with a speed of 40 \( \mathrm{Km} / \mathrm{hr} . \) If the car engine generates 7 kilowatt power, then the resistance in the path of motion of the car will be- -",\( 360 N \),\( 630 N \),zero,\( 280 N \),,Physics,Electricity,\( 360 N \),1
"Assertion: The resistance of a
milliammeter is greater than that of
ammeter

Reason: Shunt resistance in case of
a milliammeter is more than that of
ammeter","Both (A) and (R) are true and
(R) is the correct explanation of A",Both (A) and (R) are true but (R) is not the correct explanation of A,(A) is true but (R) is false,(A) is false but (R) is true,,Physics,Electricity,"Both (A) and (R) are true and
(R) is the correct explanation of A",1
"Assertion: Substances which at room
temperature retain their ferromagnetic
property for a long period of time are
called permanent magnets.

Reason: Permanent magnet can be
made by placing a ferromagnetic rod in
a solenoid and passing current through
¡t.","If both assertion and reason are true and reason is the
correct explanation of assertion.",If both assertion and reason are true and reason is not the correct explanation of assertion.,If assertion is true but reason is false.,If both assertion and reason are false.,,Physics,Electricity,"If both assertion and reason are true and reason is the
correct explanation of assertion.",1
"Two thin lenses have combined power of 10 \( D \). When separated by \( 20 \mathrm{cm} \) their
equivalent power is 6.25 D.Their
individual powers in \( D \) are
A . 3.5 and 6.5","Their
individual powers in \( D \) are
A . 3.5 and 6.5",5 and 5,7.5 and 2.5,9.0 and 1,,Physics,Electricity,"Their
individual powers in \( D \) are
A . 3.5 and 6.5",1
"Two charges each q nC. are placed at two vertices of an equilaterial triangle of side \( 1 \mathrm{m} \). The filed at the other vertex
is
A \( \cdot \sqrt{2} q \)","are placed at two vertices of an equilaterial triangle of side \( 1 \mathrm{m} \). The filed at the other vertex
is
A \( \cdot \sqrt{2} q \)",\( 9 \sqrt{3} q \),\( \frac{\sqrt{3} q}{10} \),\( \frac{9 q}{\sqrt{3}} \),,Physics,Electricity,"are placed at two vertices of an equilaterial triangle of side \( 1 \mathrm{m} \). The filed at the other vertex
is
A \( \cdot \sqrt{2} q \)",1
A charged body possesses,a positive charge,a negative charge,either a positive or a negative charge,no charge,,Physics,Electricity,a positive charge,1
"An electric dipole is placed in a non-
uniform electric field, then",The resultant force acting on the dipole is always zero,Torque acting on it may be zero,The resultant force acting on the dipole may be zero,Torque acting on it is always zero,,Physics,Electricity,The resultant force acting on the dipole is always zero,1
"A steady current flow in a metallic conductor of non-uniform cross-section.
The quantity/quantities remaining constant along the whole length of the conductor is/are:","current, electric field and drift speedd",drift speed only,current and drift speed,current only,,Physics,Electricity,"current, electric field and drift speedd",1
"Which of the following is not a disadvantage of building large dams for
generating hydro electric power?",Disturbance of the natural ecosystem in the surrounding forest area,Disruption of the plants and animals life,Displacement of people on a large scale.,None of the above,,Physics,Electricity,Disturbance of the natural ecosystem in the surrounding forest area,1
"A square frame of side \( 10 \mathrm{cm} \) and a long straight wire carrying current \( 1 A \) are in
the plane of the paper. Starting from close to the wire, the frame moves
towards right with a constant speed of \( 10 m / s \) (see figure). The e.m.f.
induced at the time the left arm of the
frame is at \( x=10 \mathrm{cm} \) from the wire is:",\( 2 \mu V \),\( 1 \mu V \),\( 0.75 \mu V \),\( 0.5 \mu V \),,Physics,Electricity,\( 2 \mu V \),1
"A steady current flows in a metallic
conductor of non-uniform cross-section.
The quantity/quantities constant along the length of the conductor is /are","current, electric current and drift velocity",drift speed only,current and drift speed only,current only,,Physics,Electricity,"current, electric current and drift velocity",1
"If the direction of the initial velocity of the charged particle is perpendicular to the magnetic field, the orbit of charged particle will be",a straight line,a cycloid,a circle,a helix,,Physics,Electricity,a straight line,1
"In a p-njunction diode, not connected to
any circuit",the potential is same everywhere.,the p-type side is at a higher potential than the n-type side.,there is an electric field at the junction directed from the n-type side to the p-type side.,there is an electric field at the junction directed from the p-type side to the n-type side.,,Physics,Electricity,the potential is same everywhere.,1
An uncharged conductor can be charged by,rubbing,positively,diverge,induction,,Physics,Electricity,rubbing,1
"Which of the following is not a type of
wire in power supply.",Phase Wire,Neutral wire,zero wire,Earth wire,,Physics,Electricity,Phase Wire,1
"Assertion
Electromotive force is a force which
help the electrons to flow and produce
current.
Reason
Electromotive force is independent of
the voltage across the cell",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"Two students \( P \) and \( Q \) perform an experiment to verify Ohm's law for a conductor with resistance R. They use a current source and a voltmeter with
least counts of \( 0.1 \mathrm{mA} \) and \( 0.1 \mathrm{mV} \)
respectively. The plots of the variation of voltage drop(V) across R with current(i)
for both are shown. the statement which
is most likely to be correct is?",P has only random error(s),Q has only systematic error(s),\( Q \) has both random and systematic errors,P has both random and systematic errors,,Physics,Electricity,P has only random error(s),1
"Q Type your question.
negligible resistance (Fig 3.126). The
rails are connected to each other at the
bottom by a resistanceless rail paralle
to the wire so that the wire and the rails
form a closed rectangular conducting
loop. The plane of the rails makes an
angle \( \theta \) with the horizontal and a
uniform vertical magnetic field of
induction B exist throughout the region.
Find the steady-state velocity of the
wire.",\( m g=\sin \theta \),\( \frac{m g}{R} \frac{\sin ^{2} \theta}{B^{2} l^{2} \cos ^{2} \theta} \),\( \frac{m g R \sin \theta}{B^{2} l^{2} \cos ^{2} \theta} \),\( \operatorname{mgr} \frac{\sin ^{2} \theta}{B^{2} / 2 \cos \theta} \),,Physics,Electricity,\( m g=\sin \theta \),1
"A man can swim with a speed of 4
\( k m h^{-1} \) in still water. He crosses a river 1
\( \mathrm{km} \) wide that flows steadily at \( 3 \mathrm{kmh}^{-1} \) If he makes his strokes normal to the
river current, how far down the river
does he go when he reaches the other bank?",\( 500 \mathrm{m} \),600 \( m \),750 \( m \),850 \( \mathrm{m} \),,Physics,Electricity,\( 500 \mathrm{m} \),1
"Current is induced in a coil by
electromagnetic induction when",Only the coil moves in a magnetic field,Only the magnet moves towards the coil,Coil and the magnet move with respect to each other,None of the above,,Physics,Electricity,Only the coil moves in a magnetic field,1
"The intensity of the
atmospheric electric field is, normally,",greater in the middle of the day than at morning,smaller in the middle of the day than at morning,same in the middle of the day as at morning,zero in the middle of the day and at morning,,Physics,Electricity,greater in the middle of the day than at morning,1
You are provided with a negatively charged gold leaf electroscope. What is the effect on the gold leaves when a glass rod rubbed with silk is brought near the disc of electroscope?,Divergence increases,Divergence decreases,Divergence remains same,Can not be determined,,Physics,Electricity,Divergence increases,1
"In insulators (CB is conduction band
and VB is valence band)",A. VB is partially filled with electrons,CB is partially filled with electrons,\( \mathrm{cB} \) is empty and \( \mathrm{VB} \) is filled with electrons,CB is filled with electrons and VB is empty,,Physics,Electricity,A. VB is partially filled with electrons,1
"In the integral type of power brake, the diaphragm acts directly on the hydraulic piston in the",Master cylinder,Wheel cylinder,Adjacent cylinder,Multiplier unit,,Physics,Electricity,Master cylinder,1
