question,option_1,option_2,option_3,option_4,correct_option,Subject,topic,correct_answer,Correct_Option_Number
"is the
distance between consecutive
corresponding points of the same
phase, such as crests, troughs, compressions, rarefactions or zero crossings and is a characteristic of
both travelling waves and standing waves, as well as other spatial wave
patterns.",frequency,amplitude,wavelength,none of these,,Physics,Kinematics,frequency,1
"Assertion
A body with constant acceleration
always moves along a straight line.
Reason

A body with constant magnitude of acceleration may not speed up.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"A sphere of mass \( \mathrm{M} \) and radius \( \mathrm{R} \) is falling in a viscous fluid. The terminal velocity attained by the falling object will be proportional to
\( \mathbf{A} \cdot M R^{2} \)","The terminal velocity attained by the falling object will be proportional to
\( \mathbf{A} \cdot M R^{2} \)",M/R,мк,\( M / R^{2} \),,Physics,Kinematics,M/R,2
"If a raw egg and a boiled egg are spinned together with same angular velocity on the horizontal surface then
which one will stops first?",boiled egg,raw egg,Both egg will stop simultaneously,Cannot be ascertained,,Physics,Kinematics,boiled egg,1
Parallax is the apparent displacement of an object because of:,change in observer's point of view,change in object's position,changes both in observers point of view and object's position,consistency in observer's point of view,,Physics,Kinematics,change in observer's point of view,1
"Distances measured below the
principal axis are taken as",Positive,Negative,,Both,,Physics,Kinematics,Positive,1
"Displacement vs time curve for a
particle SHM is as shown in the figure:
Which of the following statements is
correct?",Phase of the oscillator is same at \( t=0 \) s and \( t=2 \) s,Phase of the oscillator is same at \( t=2 \) s and \( t=5 \) s,Phase of the oscillator is same at \( t=1 \) s and \( t=7 \) s,Phase of the oscillator is same at \( t=1 \) s and \( t=5 \) s.,,Physics,Kinematics,Phase of the oscillator is same at \( t=0 \) s and \( t=2 \) s,1
"The figure given shows the
displacement-time curve of two
particles \( P \) and \( Q . \) Which of the following
statements is correct?",Both \( P \) and \( Q \) move with uniform equal speed,\( P \) is accelerated \( Q \) is retarded,Both P and Q move with uniform speeds but the speed of \( P \) is more than the speed of \( Q \),Both P and Q move with uniform speeds but the speed of \( Q \) is more than the speed of \( P \),,Physics,Kinematics,Both \( P \) and \( Q \) move with uniform equal speed,1
The electromagnetic waves travel in free space with the velocity of,Sound,Light,Greater than that of light,Greater than that of sound,,Physics,Kinematics,Sound,1
"Assertion
The \( V \rightarrow t \) graph perpendicular to time
axis is not possible in practice.
Reason
Infinite acceleration can not be realized
in practice.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"n Fig. (i), a metre stick, half of which is
wood and the other half steel is pivoted at the wooden end at \( a \) ' and a Force \( \mathrm{F} \) is
applied to the steel end a. In Fig(ii) the stick is pivoted at the steel end at a and
the same force \( F \) is applied at the wooden end at \( a^{\prime} . \) The angular acceleration
A \( . \) In (i) is greater than in (ii)","In Fig(ii) the stick is pivoted at the steel end at a and
the same force \( F \) is applied at the wooden end at \( a^{\prime} . \) The angular acceleration
A \( . \) In (i) is greater than in (ii)",In (ii) is greater than in (i),Is equal both in (i) and (ii),None of the above,,Physics,Kinematics,"In Fig(ii) the stick is pivoted at the steel end at a and
the same force \( F \) is applied at the wooden end at \( a^{\prime} . \) The angular acceleration
A \( . \) In (i) is greater than in (ii)",1
"A passenger in a train moving at an acceleration 'a', drops a stone from the
window. A person, standing on the ground, by the sides of the rails, observes the ball following:",Vertically with acceleration \( \sqrt{g^{2}+a^{2}} \),Horizontally with an acceleration \( \sqrt{g^{2}+a^{2}} \),Along a parabola with acceleration \( \sqrt{g^{2}+a^{2}} \),"Along a parabola with acceleration 'g""",,Physics,Kinematics,Vertically with acceleration \( \sqrt{g^{2}+a^{2}} \),1
"Which type of motion of an object that moves at a fixed distance from a fixed
point?",Periodic motion,Rectilinear motion,circular motion,None of the above,,Physics,Kinematics,Periodic motion,1
The velocity-time graph being a straight line parallel to the velocity axis implies,zero acceleration,positive acceleration,negative acceleration,infinite acceleration,,Physics,Kinematics,zero acceleration,1
"The distance of a particle as a function
of time is shown below. The graph indicates that",the particle starts with certain velocity but the motion is retarded and finally the particle stops,the acceleration of the particle varies,the acceleration of the particle is constant throughout,the particle starts with another constant velocity the motion is in acceleration and finally the particle moves with another constant velocity,,Physics,Kinematics,the particle starts with certain velocity but the motion is retarded and finally the particle stops,1
"Assertion
Distance covered by a moving body is always greater than zero.
Reason
Displacement of a particle can be
greater than or less than or equal to
zero.","Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion","Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion",Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,,Physics,Kinematics,"Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion",1
Velocity-time graph of a body with uniform velocity is a straight line:,parallel to x-axis,parallel to y-axis,inclined to \( x \) - axis,inclined to y-axis,,Physics,Kinematics,parallel to x-axis,1
"Escape velocity from earth is 11.2km/sec. Another planet of same mass has radius \( \frac{1}{4} \) times that of earth. What is the escape velocity from this
planet?","Another planet of same mass has radius \( \frac{1}{4} \) times that of earth. What is the escape velocity from this
planet?","\( 11.2 k m / \)sec
в. \( 44.8 k m / \)sec",\( 22.4 k m / \)sec,\( 5.6 k m / \)sec,,Physics,Kinematics,"Another planet of same mass has radius \( \frac{1}{4} \) times that of earth. What is the escape velocity from this
planet?",1
"A closed iron ring is held horizontally and a bar magnet is dropped through the ring with its length along the axis of the ring. The acceleration of the falling
magnet is:",equal to g,less thang,more than g,depends on the diameter of the ring and length of magnet,,Physics,Kinematics,equal to g,1
What is the speed of the component wave?,\( 120 \mathrm{cm} / \mathrm{s} \),240 cm/s,\( 143 \mathrm{cm} / \mathrm{s} \),\( 287 \mathrm{cm} / \mathrm{s} \),,Physics,Kinematics,\( 120 \mathrm{cm} / \mathrm{s} \),1
Velocity of sound in air is about :,\( 330 \mathrm{m} / \mathrm{s} \),\( 460 \mathrm{m} / \mathrm{s} \),\( 380 m / s \),\( 400 \mathrm{m} / \mathrm{s} \),,Physics,Kinematics,\( 330 \mathrm{m} / \mathrm{s} \),1
"Which of the following laws are conserved, if the areal acceleration is
zero",Law of conservation of angular velocity,Law of conservation of angular momentum,Law of conservation of angular acceleration,Law of conservation of angular displacement,,Physics,Kinematics,Law of conservation of angular velocity,1
"When a sphere falling in a viscous fluid attains a terminal velocity, then:",the net force acting on the sphere is zero,the drag force balances the buoyant force,the drag force balances the weight of the sphere,the buoyant force balances the weight and drag force,,Physics,Kinematics,the net force acting on the sphere is zero,1
"A conducting rod is moved with a
constant velocity \( v \) in a magnetic field. A potential difference appears across
the two ends
\( \mathbf{A} \cdot \) if \( \vec{v} \| \vec{l} \)","A potential difference appears across
the two ends
\( \mathbf{A} \cdot \) if \( \vec{v} \| \vec{l} \)",if \( \vec{v} \| \vec{B} \),if \( \vec{l} \mid \vec{B} \),none of these,,Physics,Kinematics,"A potential difference appears across
the two ends
\( \mathbf{A} \cdot \) if \( \vec{v} \| \vec{l} \)",1
A ball is thrown vertically downwards with velocity \( \sqrt{2 g h} \) from a height \( h \) After colliding with the ground it just reaches the starting point. Coefficient of restitution is :,\( 1 / \sqrt{2} \),\( 1 / 2 \),1,\( \sqrt{2} \),,Physics,Kinematics,1,3
"The escape velocity of an object on a planet whose radius is 4 times that of
the earth and \( g \) value 9 times that on
the earth, in \( \mathrm{kms}^{-1} \) is",33.6,67.2,16.8,25.2,,Physics,Kinematics,33.6,1
With what angular velocity and in what direction does the turntable rotate?,The table rotates anticlockwise (in direction of the mam motion) with angular velocity \( 0.05 r a d / s \),The table rotates clockwise (opposite to the man) with angular velocity \( 0.1 \mathrm{rad} / \mathrm{s} \),The table rotates clockwise (opposite to the man) with angular velocity \( 0.05 r a d / s \),The table rotates anticlockwise (in the direction of the man motion) with angular velocity \( 0.1 \mathrm{rad} / \mathrm{s} \),,Physics,Kinematics,The table rotates anticlockwise (in direction of the mam motion) with angular velocity \( 0.05 r a d / s \),1
"In Maxwell's velocity distribution curve
area under the graph",Increases when temperature is increased,Deccreases when temperature is increased,Remains same at all temperature,Depends on the pressure of the gas,,Physics,Kinematics,Increases when temperature is increased,1
"Electric intensity due to an electric dipole varies with distance \( r \) as \( E \alpha r^{n}, \) where 'n""
is",-3,-2,-1,0,,Physics,Kinematics,0,4
"Assertion
In \( S H M, \) acceleration is always
directed towards the mean position.
Reason
\( \ln S H M, \) the body has to stop
momentary at the extreme position and move back to mean position.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"Whenever an object moves with a constant speed, its distance - time
graph is a",Parabola,"Straight line, perpendicular to the time axis","straight line, parallel to the time axis",Straight line passing through origin,,Physics,Kinematics,Parabola,1
"A gas bubble of \( 2 \mathrm{cm} \) diameter rises
through a liquid of density \( 1.75 \mathrm{gm} \mathrm{cm}^{-3} \) with a fixed speed of \( 0.35 \mathrm{cm} s^{-1} \)
Neglect the density of the gas. The coefficient of viscosity of the liquid is:",870 poise,1120 poise,982 poise,1089 poise,,Physics,Kinematics,870 poise,1
"As the depth of the river increases, the velocity of flow:",increases,decreases,remains unchanged,may increase or decrease,,Physics,Kinematics,increases,1
"The displacement-time graph of a
particle executing SHM is shown in the
figure. Then
This question has multiple correct options",the velocity is maximum at \( t=T / 2 \),the acceleration is maximum at \( t=T \),the force is zero at \( t=3 T / 4 \),the potential energy equals the oscillation at t=T/2,,Physics,Kinematics,the velocity is maximum at \( t=T / 2 \),1
"A merry-go-round is moving with a constant speed of \( 12 m s^{-1}, \) The girl
sitting on it is",At rest,Moving with uniform velocity,In accelerated motion,Moving with no acceleration,,Physics,Kinematics,At rest,1
Speed of sound waves in fluid is,directly proportional to the square root of bulk modulus of the medium.,inversely proportional to the bulk modulus of the medium,directly proportional to the density of the medium.,inversely proportional to the density of the medium.,,Physics,Kinematics,directly proportional to the square root of bulk modulus of the medium.,1
Wien's displacement law fails at:,low temperature,high temperature,short wavelength,Iong wavelength,,Physics,Kinematics,low temperature,1
"The square of its period of revolution around the sun is the cube of the mean distance of a
planet from the sun",Inversely proportional,Directly proportional,Not proportional,depend,,Physics,Kinematics,depend,4
"If there is a nonzero net force acting on an object for some time, which of the following must be true?
I. The object is gaining kinetic energy
II. The object experiences displacement
III. There is work being done on the object",I only,I and II only,I and III only,"Il and III only
E . I, II, and III",,Physics,Kinematics,I only,1
"An object at rest stays at rest and an object in motion stays in motion with the same speed and in the same direction unless acted upon by an unbalanced force. This statement is
known as:",Newton's first law of motion,Newton's second law of motion,Newton's third law of motion,Newton's law of gravitation,,Physics,Kinematics,Newton's first law of motion,1
"The displacement time graph of a particle executing SHM is shown in
figure. Which of the following
statements is/are true?
This question has multiple correct options",The velocity is maximum at t=T/2,The acceleration is maximum at t=,The force is zero at t=37/4,The kinetic energy equals the total oscillation energy at \( t=T / 2 \),,Physics,Kinematics,The velocity is maximum at t=T/2,1
"The maximum acceleration of a particle
in SHM is made two times keeping the
maximum speed to be constant. It is possible when",amplitude of oscillation is doubled while frequency remains constant,amplitude is doubled while frequency is halved,frequency is doubled while amplitude is halved,frequency is doubled while amplitude remains constant,,Physics,Kinematics,amplitude of oscillation is doubled while frequency remains constant,1
The tendency of a body to resist acceleration is called:,Force,Retardation,Inertia,mass,,Physics,Kinematics,Force,1
"An aeroplane flies along a straight line from \( A \) to \( B \) with air speed \( V \) and back
again with the same air speed.ff the distance between \( A \) and \( B \) is \( l \) and \( a \)
steady wind blows perpendicular to AB with speed \( u \), the total time taken for
the round trip is","ff the distance between \( A \) and \( B \) is \( l \) and \( a \)
steady wind blows perpendicular to AB with speed \( u \), the total time taken for
the round trip is","\( \frac{2 l}{\sqrt{V^{2}-u^{2}}} \)
в. \( \frac{2 l}{\sqrt{V^{2}+u^{2}}} \)",\( \frac{l}{\sqrt{V^{2}-u^{2}}} \),\( \frac{3 l}{\sqrt{V^{2}-u^{2}}} \),,Physics,Kinematics,"ff the distance between \( A \) and \( B \) is \( l \) and \( a \)
steady wind blows perpendicular to AB with speed \( u \), the total time taken for
the round trip is",1
If the frequency of a sound wave is doubled then the velocity of sound will be,zero,half,double,unchanged,,Physics,Kinematics,double,3
"In a golf tournament, if we designate
the hole as the origin, and the putter
(like a bat) is at \( -5.0 \mathrm{m} \) at time \( 0 \mathrm{s} \), the
velocity-time graph for the golf ball will
be",a straight line inclined to the time axis,a straight line parallel to the time axis,a concave curve,a convex curve,,Physics,Kinematics,a straight line inclined to the time axis,1
"If speed is a scalar quantity, then
average speed",is a vector quantity,may be a scalar or a vector quantity,is also a scalar quantity,is neither a scalar nor a vector quantity,,Physics,Kinematics,is a vector quantity,1
"Uniform speed of \( 2 c m \) diameter ball is \( 20 \mathrm{cm} / \mathrm{s} \) in a viscous liquid. Then, the
speed of \( 1 \mathrm{cm} \) diameter ball in the same liquid is:
A \( .5 \mathrm{cms}^{-1} \)","Then, the
speed of \( 1 \mathrm{cm} \) diameter ball in the same liquid is:
A \( .5 \mathrm{cms}^{-1} \)",\( 10 \mathrm{cms}^{-1} \),\( 40 \mathrm{cms}^{-1} \),\( 80 \mathrm{cms}^{-1} \),,Physics,Kinematics,"Then, the
speed of \( 1 \mathrm{cm} \) diameter ball in the same liquid is:
A \( .5 \mathrm{cms}^{-1} \)",1
"Consider the speed-time graph of a
vehicle given here.What type of motion is represented by PQ?",Uniform acceleration,Uniform deceleration,Constant speed,Vehicle at rest,,Physics,Kinematics,Uniform acceleration,1
"Assertion
In an elastic collision between two bodies, the relative speed of the bodies after collision is equal to the relative speed before the collision.
Reason
In an elastic collision, the linear momentum of the system is conserved.","A. Statement-1 is True, Statement-2 is True; Statement- is a correct explanation for Statement-","Statement-1 is True, Statement-2 is True; Statement is NOT a correct explanation for Statement-1","statement- - 1 is True, Statement- 2 is False","Statement- -1 is False, Statement-2 is True",,Physics,Kinematics,"A. Statement-1 is True, Statement-2 is True; Statement- is a correct explanation for Statement-",1
"A tank, which is open at the top,
contains a liquid up to a height \( \boldsymbol{H} . \mathbf{A} \)
small hole is made in the side of a tank
at a distance y below the liquid surface.
The liquid emerging from the hole lands at a distance \( x \) from the tank.
his question has multiple correct options","If \( y \) is increased from zero to \( H, x \) will first increase and then decrease",x is maximum for \( y=H / 2 \).,The maximum value of \( x \) is \( H \),The maximum value of \( x \) will depend on the density of the density of the liquid.,,Physics,Kinematics,"If \( y \) is increased from zero to \( H, x \) will first increase and then decrease",1
"A particle of mass \( \mathrm{M} \) is situated at the
centre of spherical shell of same mass and radius a. The gravitational potential at a point situated at a/2 distance from the centre will be",The gravitational potential at a point situated at a/2 distance from the centre will be,"\( -\frac{3 G M}{a} \)
В. \( -\frac{2 G M}{a} \)",\( -\frac{G M}{a} \),\( -\frac{4 G M}{a} \),,Physics,Kinematics,The gravitational potential at a point situated at a/2 distance from the centre will be,1
"A particle starts from the origin at \( t=0 \)
and moves in the \( x \) -y plane which constant acceleration 'a' in the \( y \)
direction. An equation of motion is \( y= \)
\( b x^{2} . \) The \( x \) -components of its velocity is?",Variable,\( \sqrt{\frac{2 a}{b}} \),\( \frac{a}{2 b} \),\( \sqrt{\frac{a}{2 b}} \),,Physics,Kinematics,Variable,1
"A body is dropped from certain height H. If the ratio of the distances travelled by
it in \( (n-3) \) seconds to \( (n-3)^{r d} \) second
is \( \left.4: 3, \text { find } H . \text { (Take } g=10 \mathrm{m} s^{-2}\right) \)",\( 75 \mathrm{m} \),100 \( m \),\( 125 \mathrm{m} \),150 \( m \),,Physics,Kinematics,\( 75 \mathrm{m} \),1
When the velocity of a body is doubled,kinetic energy is doubled,acceleration is doubled,momentum is doubled.,potential energy is doubled,,Physics,Kinematics,kinetic energy is doubled,1
"A fan is running at 3000 rpm. It is switched off. It comes to rest by
uniformly decreasing its angular speed in 10 seconds. The total number of
revolutions in this period.",A. 150,250,350,300,,Physics,Kinematics,300,4
"A river is flowing from west to east at a speed of \( 5 \mathrm{m} / \mathrm{minute} . \) In what direction
should a man on the south bank of the
river capable of swimming at \( 10 \mathrm{m} / \mathrm{min} \) in still water should swim to cross the
water in shortest time?",East,west,south,North,,Physics,Kinematics,East,1
"Statement 1: In simple harmonic motion, the velocity is maximum when the acceleration is minimum.

Statement 2: Displacement and velocity of \( S . H . M \) differ in phase by \( \frac{\pi}{2} \)","Statement 1 is false, Statement 2 is true","Statement 1 is true, Statement 2 is true; Statement 2 is the correct explanation for Statement 1","statement 1 is true, statement 2 is true; Statement 2 is not the correct explanation for Statement 1","Statement 1 is true, Statement 2 is false",,Physics,Kinematics,"Statement 1 is false, Statement 2 is true",1
"There are three particles shown in the figure as I, II and III. The velocity and acceleration vectors associated with
the motion of three particles are shown. Which of the above could represent the
velocity and acceleration vectors for a projectile following a parabolic path?
I.
II.
III.",I only,II only,III only,"I and II only
E. II and III only",,Physics,Kinematics,I only,1
"A bar magnet moves toward two
identical parallel circular loops with a
constant velocity \( v \) as shown in figure
This question has multiple correct options",Both the loops will attract each other,Both the loops will repel each other,The induced current in \( A \) is more than that in \( B \),"The induced current is same in both the loops
E. answer required",,Physics,Kinematics,Both the loops will attract each other,1
"The displacement \( x \) of a particle in
motion is given in terms of time by \( x(x- \)
4) \( =1-5 \cos \omega t \)",The particle executes SHM,The particle executes oscillatory motion which is not SHM,motion of the particle is neither oscillator; nor simple harmonic,The particle is not acted upon by a force when it is at \( x \) \( =4 \),,Physics,Kinematics,The particle executes SHM,1
"Two equal charges \( q \) are kept fixed at \( a \)
and \( +a \) along the \( x \) -axis. A particle of mass \( m \) and charge \( \frac{q}{2} \) is brought to the origin and given a small displacement along the \( x \) -axis, then:",the particle executes oscillatory motion,the particle remains stationary,"the particle executes, SHM along x-axis",the particle executes SHM along y-axis,,Physics,Kinematics,the particle executes oscillatory motion,1
"A particle of mass \( m \) is moving in
horizontal circle of radius \( r \) with
uniform speed \( v \). When it moves from one point to a diametrically opposite point its",KE changes by \( m v^{2} \).,KE changes by \( \frac{1}{4} m v^{2} \).,momentum does not change.,momentum changes by \( 2 m v \),,Physics,Kinematics,KE changes by \( m v^{2} \).,1
"An object moving at constant velocity
must:",have a net force on it,eventually stop due to gravity,not have any force of gravity on it,have zero net force on it,,Physics,Kinematics,have a net force on it,1
"A person sitting in an open car moving at constant velocity throws a ball vertically up into air. Where will the ball
fall?",Outside the car,In the car ahead of the person,In the car to the side of the person,Exactly in the hand from which it was thrown up,,Physics,Kinematics,Outside the car,1
"Assertion
Dust particles generally settle down
gradually in a closed room.
Reason
The terminal velocity is inversely proportional to the square of their radii.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
The direction of velocity of a pendulum bob at the right extreme position is:,towards right,towards north,towards the centre,towards left,,Physics,Kinematics,towards right,1
A particle moves with uniform velocity. Which of the following statements about the motion of the particle is true?,Its speed is zero.,Its acceleration is zero,Its acceleration is opposite to the velocity,Its speed may be variable,,Physics,Kinematics,Its speed is zero.,1
The electromagnetic waves travel with a velocity,equal to velocity of sound.,equal to velocity of light,less than velocity of light,None of the above,,Physics,Kinematics,equal to velocity of sound.,1
A body of mass \( 2 \mathrm{kg} \) makes an elastic collision with another body at rest and continues to move in the original direction at a speed equal to \( 1 / 3 \) of its original speed. The mass of the second body is,The mass of the second body is,"\( 2 k g \)
в. \( 3 k g \)",\( 1 k g \),\( 4 k g \),,Physics,Kinematics,The mass of the second body is,1
"A particle starts with angular
acceleration 2 rad/sec\( ^{2} \). It moves
100 rad in a random interval of 5 sec.
Find out the time at which random
interval starts.","Find out the time at which random
interval starts.",7.5 sec,"4.5 sec
\( \mathrm{c} .5 \mathrm{sec} \)",6 sec,,Physics,Kinematics,"Find out the time at which random
interval starts.",1
"Which of the following statements are
true about acceleration due to gravity?
This question has multiple correct options",\( g \) decreases in moving away from the centre if \( r>R \),\( g \) decreases in moving away from the centre if \( r<R \),\( g \) is zero at the centre of the earth,\( g \) decreases if earth stops rotating on its axis,,Physics,Kinematics,\( g \) decreases in moving away from the centre if \( r>R \),1
The acceleration due to gravity,Has the same value everywhere in space,Has the same value everywhere on the earth,varies with the latitude on the earth,is greater on the moon due to its smaller diameter,,Physics,Kinematics,Has the same value everywhere in space,1
"In the figure shown, plank is
being pulled to the right with a constant
speed v. If the cylinder does not slip then
This question has multiple correct options",the speed of the centre of mass of the cylinder is \( 2 v \),the speed of the centre of mass of the cylinder is zero,the angular velocity of the cylinder is \( v / R \),the angular velocity of the cylinder is zero,,Physics,Kinematics,the speed of the centre of mass of the cylinder is \( 2 v \),1
"Assertion
A light-year is a distance that light
travels with velocity of \( 3 \times 10^{8} m s^{-1} \) in
one year.
Reason
Light year is the unit for measuring time.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"For a moving body, distance and displacement will be equal if",the body moves along a circle,the body moves along a straight line,the body moves along a triangle,the body comes back to its initial position,,Physics,Kinematics,the body moves along a circle,1
"Assertion
A particle is projected upwards with
speed \( v \) and it goes to a height \( h . \) If we double the speed then it will move to height \( 4 h \)
Reason
In case of earth, acceleration due to gravity \( g \) varies as \( g \propto \frac{1}{r^{2}} r \geq R \)",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"Two stars \( S_{1} \) and \( S_{2} \) are located at
distances \( d_{1} \) and \( d_{2} \) respectively. Also if
\( d_{1}>d_{2} \) then which of the following
statements is true?",The parallax of \( S_{1} \) and \( S_{2} \) are same,The parallax of \( S_{1} \) is twice as that of \( S_{2} \),The parallax of \( S_{1} \) is greater than parallax of \( S_{2} \),The parallax of \( S_{2} \) is greater than parallax of \( S_{1} \),,Physics,Kinematics,The parallax of \( S_{1} \) and \( S_{2} \) are same,1
"Consider Newton's formula for the
velocity of sound of a gas depends of
1. Gravitational constant
2. Acceleration due to gravity
3. Pressure
4. Density Which of the given are correct? Choose
the answer from the codes given.",3 and 4,4 only,1 and 2,3 only,,Physics,Kinematics,3 and 4,1
"The potential energy of a body is given by \( U=A-B x^{2} \) (where \( x \) is the
displacement). The magnitude of force acting on the particle is",Constant,Proportional to \( x \),Proportional to \( x^{2} \),Inversely proportional to,,Physics,Kinematics,Constant,1
